Aktionsname;Aktionsdatum;Durchführendes Konto;Aktionsnummer;Masternummer;Dateiname;Nebenrechnungen
Zuweisung Anfangsguthaben;01.01.2021 07:42:00;31;1;272460;;
div. Surfen;01.01.2021 11:32:00;73;2;272463;;
Ansehen YouTube-Videos;01.01.2021 12:14:00;73;3;272464;;
Scan div. Radiosender;01.01.2021 12:21:00;58;4;272467;;
Bearb. Playlist;01.01.2021 13:03:00;9;5;272471;;
Eingabe LP Dreigroschenoper u.a.;01.01.2021 13:49:00;9;6;272477;;
Scootersuche;01.01.2021 17:26:00;20;7;272482;;
div. Surfen;01.01.2021 17:43:00;73;8;272484;;
Scan Radio Plattenkiste;01.01.2021 18:18:00;58;9;272485;;
MAME Mario Bros.;01.01.2021 19:18:00;56;10;272486;;
Ansehen YouTube-Videos;01.01.2021 19:39:00;73;11;272489;;
Bearbeitung PSR-60 ROM Disassembly 1;01.01.2021 21:04:00;32;12;272492;;
Bearb. Playlist / Evaluation Hörwerte;01.01.2021 21:12:00;9;13;272493;;
Anhören RW-Programm;01.01.2021 21:28:00;9;14;272495;;
Aufwandserfassung;01.01.2021 21:48:00;31;15;272497;;
Bearb. Koordinaten Tier;01.01.2021 22:35:00;20;16;272498;;
Bearbeitung Yamaha Playcard Songs in Videos;01.01.2021 22:38:00;32;17;272499;;
Scan div. Radiosender;02.01.2021 08:46:00;58;18;272507;;
Bearb. Koordinaten Tier;02.01.2021 10:07:00;20;19;272516;;
Bearb. Playlist;02.01.2021 11:37:00;9;20;272519;;
Bearbeitung Bewertung der Probleme;02.01.2021 11:47:00;31;21;272523;;
div. Surfen;02.01.2021 12:23:00;73;22;272524;;
Wechsel Leuchtmittel WC / Inventur Leuchtmittel;02.01.2021 13:10:00;71;23;272526;;
Bearbeitung PSR-60 ROM Disassembly 1;02.01.2021 14:24:00;32;24;272530;;
Bearbeitung Mails;02.01.2021 14:59:00;73;25;272532;;
Scootersuche;02.01.2021 16:21:00;20;26;272540;;
Bearb. Badewanne mit Papa (u.a.);02.01.2021 16:30:00;38;27;272541;;
div. Surfen;02.01.2021 16:43:00;73;28;272544;;
Bearbeitung PSR-60 ROM Disassembly 1;02.01.2021 17:18:00;32;29;272546;;
Wunsch Plattenkiste;02.01.2021 18:54:00;58;30;272549;;
Bearbeitung Mails;02.01.2021 19:09:00;73;31;272551;;
AE / Bearb. Kommentare Kontengebarung;02.01.2021 19:28:00;31;32;272554;;
Bearb. Koordinaten Tier;02.01.2021 20:35:00;20;33;272555;;
MAME Mario Bros. (19');02.01.2021 20:36:00;56;34;272557;;
Ansehen ZiB 1;02.01.2021 20:56:00;58;35;272558;;
Scan div. Radiosender;02.01.2021 21:02:00;58;36;272561;;
Bearb. Playlist;02.01.2021 22:13:00;9;37;272564;;
Ansehen YouTube-Videos;02.01.2021 22:15:00;73;38;272566;;
Wechsel Glühbirne Kabinett;03.01.2021 08:07:00;71;39;272575;;
Bearb. Playlist;03.01.2021 08:32:00;9;40;272577;;
Scan Radio Plattenkiste;03.01.2021 08:36:00;58;41;272578;;
Bearbeitung Mails;03.01.2021 10:51:00;73;42;272584;;
Bearbeitung PSR-60 ROM Disassembly;03.01.2021 10:55:00;32;43;272585;;
Anhören / Eingabe 3-Groschen-Oper u.a.;03.01.2021 12:10:00;9;44;272590;;
Themen für Mittagessen;03.01.2021 12:46:00;31;45;272594;;
Inventur Glühbirnen Papa;03.01.2021 14:28:00;38;46;272597;;
div. Surfen;03.01.2021 15:42:00;73;47;272600;;
Ansehen YouTube-Videos;03.01.2021 16:09:00;73;48;272601;;
MAME Mario Bros.;03.01.2021 16:18:00;56;49;272602;;
Scan Radio Plattenkiste;03.01.2021 16:38:00;58;50;272603;;
Bearb. Koordinaten Tier;03.01.2021 17:59:00;20;51;272604;;
Bearbeitung PSR-60 ROM Disassembly;03.01.2021 18:07:00;32;52;272605;;
Abgabe Wunsch Musikwelle;03.01.2021 20:09:00;58;53;272611;;
Scan div. Radiosender;03.01.2021 20:13:00;58;54;272616;;
Bearb. Koordinaten Tier;03.01.2021 20:54:00;20;55;272618;;
AE / Kommentare Kontengebarung;03.01.2021 20:57:00;31;56;272619;;
Scootersuche;11.01.2021 18:43:00;20;193;273072;;
Reverse Engineering Yamaha Playcard;11.01.2021 18:51:00;32;194;273076;;
Ansehen YouTube-Videos;11.01.2021 19:29:00;73;195;273078;;
Bearb. Koordinaten Tier;11.01.2021 20:46:00;20;196;273081;;
Ansehen ZiB 1;11.01.2021 20:59:00;58;197;273082;;
Planung / Aufwandserfassung;11.01.2021 21:18:00;31;198;273084;;
Bearb. Playlist;11.01.2021 22:26:00;9;199;273085;;
div. Surfen;11.01.2021 22:30:00;73;200;273088;;
div. Surfen;12.01.2021 07:31:00;73;201;273092;;
Scan div. Radiosender;12.01.2021 07:38:00;58;202;273093;;
Bearb. Playlist;12.01.2021 08:11:00;9;203;273094;;
Bearbeitung Play Card System;12.01.2021 08:17:00;32;204;273098;;
Bearb. Koordinaten Tier;12.01.2021 09:48:00;20;205;273105;;
Bearbeitung Bewertung der Probleme;12.01.2021 09:54:00;31;206;273109;;
Scootersuche;12.01.2021 19:21:00;20;207;273115;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;12.01.2021 19:27:00;32;208;273118;;
Ansehen ZiB 1;12.01.2021 22:24:00;58;209;273120;;
Ansehen YouTube-Videos;12.01.2021 22:28:00;73;210;273121;;
div. Surfen;13.01.2021 07:24:00;73;211;273137;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;13.01.2021 07:36:00;32;213;273140;;
Scan div. Radiosender;13.01.2021 09:02:00;58;214;273141;;
Bearb. Koordinaten Tier;13.01.2021 09:34:00;20;215;273152;;
Bearbeitung Bewertung der Probleme;13.01.2021 09:38:00;31;216;273153;;
Scootersuche;13.01.2021 17:44:00;20;217;273161;;
div. Surfen;13.01.2021 18:23:00;73;218;273165;;
Ansehen YouTube-Videos;13.01.2021 18:47:00;73;219;273167;;
Posting Youtube;13.01.2021 20:14:00;73;220;273168;;
Bearb. Koordinaten Tier;13.01.2021 20:16:00;20;221;273170;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;13.01.2021 20:31:00;32;222;273171;;
Ansehen ZiB 1;13.01.2021 21:36:00;58;223;273173;;
Aufwandserfassung;13.01.2021 21:38:00;31;224;273175;;
Bearb. Playlist;13.01.2021 22:46:00;9;225;273176;;
Scan div. Radiosender;14.01.2021 08:11:00;58;226;273189;;
Bearb. Koordinaten Tier;14.01.2021 08:53:00;20;227;273191;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;14.01.2021 08:56:00;32;228;273192;;
Bearb. Playlist;14.01.2021 09:51:00;9;229;273196;;
div. Surfen;14.01.2021 09:53:00;73;230;273201;;
Bearbeitung Bewertung der Probleme;14.01.2021 10:01:00;31;231;273202;;
Scootersuche;14.01.2021 18:43:00;20;232;273214;;
div. Surfen;14.01.2021 18:51:00;73;233;273217;;
Ansehen YouTube-Videos;14.01.2021 18:57:00;73;234;273218;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;14.01.2021 20:01:00;32;235;273219;;
Bearb. Koordinaten Tier;14.01.2021 20:51:00;20;236;273220;;
Ansehen ZiB 1;14.01.2021 20:54:00;58;237;273221;;
Aufwandserfassung;14.01.2021 22:09:00;31;238;273226;;
Bearb. Playlist;14.01.2021 22:51:00;9;239;273230;;
div. Surfen;15.01.2021 07:51:00;73;241;273235;;
Scan div. Radiosender;15.01.2021 07:56:00;58;242;273236;;
Bearb. Koordinaten Tier;15.01.2021 08:14:00;20;243;273237;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;15.01.2021 08:15:00;32;244;273238;;
Bearb. Playlist;15.01.2021 18:17:00;9;245;273252;;
Posting Youtube;15.01.2021 20:59:00;73;246;273256;;
Ansehen YouTube-Videos;15.01.2021 21:03:00;73;247;273257;;
Bearbeitung Play Card System;15.01.2021 22:00:00;32;248;273258;;
Ansehen Fernsehsendungen;15.01.2021 22:15:00;58;249;273259;;
Bearb. Koordinaten Tier;15.01.2021 22:18:00;20;250;273260;;
Bearb. Playlist;16.01.2021 09:59:00;9;253;273276;;
Halbmon. Abrechnung;15.01.2021 23:24:00;71;251;273264;;
Halbmon. Abrechnung Teil 2;15.01.2021 23:25:00;71;252;273265;;
Scan div. Radiosender;16.01.2021 10:14:00;58;254;273277;;
Bearbeitung Play Card System;16.01.2021 12:43:00;32;255;273280;;
Bearbeitung Bewertung der Probleme;16.01.2021 15:37:00;31;256;273284;;
div. Surfen;16.01.2021 16:06:00;73;257;273285;;
Bearbeitung Mails;16.01.2021 17:19:00;73;258;273294;;
Scootersuche;16.01.2021 20:07:00;20;259;273303;;
MAME Mario Bros.;16.01.2021 20:42:00;56;260;273312;;
Ansehen ZiB 1;16.01.2021 21:01:00;58;261;273313;;
Bearb. Koordinaten Tier;16.01.2021 21:03:00;20;262;273315;;
Aufwandserfassung;16.01.2021 21:07:00;31;263;273323;;
Ansehen YouTube-Videos;16.01.2021 22:06:00;73;264;273324;;
Wunschmail DX-Wunschkonzert;16.01.2021 22:15:00;58;265;273325;;
Scan div. Radiosender;17.01.2021 08:38:00;58;266;273331;;
Bearbeitung Mails;17.01.2021 11:27:00;73;267;273339;;
Bearbeitung Play Card System;17.01.2021 11:30:00;32;268;273340;;
div. Surfen;17.01.2021 13:04:00;73;269;273345;;
Themen für Mittagessen;17.01.2021 13:31:00;31;270;273346;;
Bearb. Koordinaten Tier;17.01.2021 13:40:00;20;271;273348;;
Scootersuche;17.01.2021 16:45:00;20;272;273354;;
Ansehen Youtube-Videos;17.01.2021 16:54:00;73;273;273359;;
div. Surfen;17.01.2021 17:31:00;73;274;273363;;
Bearb. Koordinaten Tier;17.01.2021 18:11:00;20;275;273367;;
Bearbeitung Play Card System;17.01.2021 18:38:00;32;276;273371;;
Mail Plattenkiste Kriminal-Tango;17.01.2021 19:47:00;58;277;273372;;
Scan div. Radiosender;17.01.2021 20:06:00;58;278;273373;;
Aufwandserfassung;17.01.2021 21:18:00;31;279;273376;;
Wunsch Musikwelle (Night Birds);17.01.2021 22:03:00;58;280;273377;;
Mail Musikwelle Nicki;17.01.2021 22:06:00;58;281;273378;;
Ansehen ZiB 1/2/Diskussionssendung;17.01.2021 22:13:00;58;282;273381;;
Posting Zeiten Atariage;17.01.2021 23:04:00;56;283;273384;;
div. Surfen;18.01.2021 07:39:00;73;284;273388;;
Ermittlung Gesamtzeit für geplante Projekte;18.01.2021 07:46:00;31;285;273390;;
Bearb. Playlist;18.01.2021 08:01:00;9;286;273392;;
Bearbeitung Play Card System;18.01.2021 08:05:00;32;287;273393;;
Scan div. Radiosender;18.01.2021 08:30:00;58;288;273394;;
Ansehen YouTube-Videos;18.01.2021 18:00:00;73;289;273417;;
Bearbeitung Play Card System;18.01.2021 18:40:00;32;290;273418;;
div. Surfen;18.01.2021 20:50:00;73;291;273423;;
Ansehen Fernsehsendungen;18.01.2021 20:54:00;58;292;273424;;
Planung / AE;18.01.2021 21:42:00;31;293;273428;;
Bearb. auswendige Radioplaylist;18.01.2021 22:32:00;9;294;273429;;
Scan div. Radiosender;19.01.2021 07:22:00;58;295;273436;;
Bearbeitung Play Card System;19.01.2021 08:09:00;32;296;273440;;
Bearbeitung Bewertung der Probleme;19.01.2021 09:37:00;31;297;273460;;
Bearb. Koordinaten Tier;19.01.2021 10:00:00;20;298;273462;;
Scootersuche;19.01.2021 18:49:00;20;299;273468;;
div. Surfen;19.01.2021 19:04:00;73;300;273471;;
Ansehen YouTube-Videos;19.01.2021 19:09:00;73;301;273472;;
Bearb. Koordinaten Tier;19.01.2021 20:53:00;20;302;273475;;
Bearbeitung Play Card System;19.01.2021 20:59:00;32;303;273476;;
Ansehen ZiB 1;19.01.2021 21:26:00;58;304;273477;;
Bearb. Playlist;19.01.2021 21:31:00;9;305;273478;;
Aufwandserfassung;19.01.2021 21:45:00;31;306;273481;;
Bearb. Koordinaten Tier;20.01.2021 07:23:00;20;307;273491;;
Bearbeitung Play Card System;20.01.2021 07:26:00;32;308;273492;;
div. Surfen;20.01.2021 09:14:00;73;309;273498;;
Scan div. Radiosender;20.01.2021 09:28:00;58;310;273499;;
Scootersuche;20.01.2021 15:56:00;20;311;273506;;
MAME Masio Bros. (23 + 15');20.01.2021 16:06:00;56;312;273509;;
div. Surfen;20.01.2021 16:44:00;73;313;273510;;
Ansehen YouTube-Videos;20.01.2021 16:59:00;73;314;273511;;
Bearb. Koordinaten Tier;20.01.2021 19:03:00;20;315;273514;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;20.01.2021 19:09:00;32;316;273516;;
Aufwandserfassung;20.01.2021 19:58:00;31;317;273519;;
Ansehen ZiB 1;20.01.2021 20:59:00;58;318;273521;;
Einspielen div. Titel;20.01.2021 21:30:00;79;319;273523;;
div. Surfen;21.01.2021 07:43:00;73;320;273533;;
Scan div. Radiosender;21.01.2021 07:46:00;58;321;273536;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;21.01.2021 08:19:00;32;322;273540;;
Bearb. Koordinaten Tier;21.01.2021 09:39:00;20;323;273542;;
div. Surfen;21.01.2021 09:59:00;73;324;273545;;
Scootersuche (+Lime) + Aufstellen;21.01.2021 17:23:00;20;325;273553;;
div. Surfen;21.01.2021 17:40:00;73;326;273556;;
Ansehen YouTube-Videos;21.01.2021 17:45:00;73;327;273557;;
Bearbeitung Play Card System;21.01.2021 18:46:00;32;328;273558;;
MAME Mario Bros.;21.01.2021 20:55:00;56;329;273562;;
Ansehen Fernsehsendungen;21.01.2021 21:19:00;58;330;273563;;
Bearb. Koordinaten Tier;21.01.2021 21:24:00;20;331;273564;;
AE / Kommentare Kontengebarung;21.01.2021 21:30:00;31;332;273566;;
Bearb. Playlist;21.01.2021 22:34:00;9;333;273570;;
Einspielen div. Titel;21.01.2021 22:36:00;79;334;273571;;
div. Surfen;22.01.2021 07:55:00;73;335;273576;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;22.01.2021 08:03:00;32;336;273577;;
Bearb. Koordinaten Tier;22.01.2021 09:18:00;20;337;273580;;
Scan div. Radiosender;22.01.2021 09:27:00;58;338;273582;;
Scootersuche;22.01.2021 17:26:00;20;339;273593;;
Mario Bros.;22.01.2021 17:39:00;56;340;273596;;
Bearb. Play Card System;22.01.2021 18:34:00;32;341;273597;;
Ansehen YouTube-Videos;22.01.2021 20:14:00;73;342;273603;;
div. Surfen;22.01.2021 20:53:00;73;343;273604;;
Ansehen Fernsehsendungen;22.01.2021 21:01:00;58;344;273605;;
Bearb. Playlist;22.01.2021 21:07:00;9;345;273607;;
Bearb. Koordinaten Tier;22.01.2021 21:12:00;20;346;273609;;
AE / Kommentare Kontengebarung;22.01.2021 21:14:00;31;347;273610;;
Einspielen 2 Titel;22.01.2021 22:28:00;79;348;273616;;
div. Surfen;23.01.2021 07:54:00;73;349;273620;;
Bearb. Koordinaten Tier;23.01.2021 11:05:00;20;350;273633;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;23.01.2021 11:15:00;32;351;273634;;
div. Surfen;23.01.2021 13:28:00;73;352;273639;;
Bearbeitung Mails;23.01.2021 13:43:00;73;353;273640;;
Auswertung Radioscans / Playlists;23.01.2021 14:39:00;9;354;273647;;
div. Surfen;23.01.2021 17:26:00;73;355;273656;;
Scan div. Radiosender;23.01.2021 17:26:00;58;356;273657;;
Bearbeitung Play Card System;23.01.2021 18:25:00;32;357;273659;;
Bearbeitung Mails;23.01.2021 20:14:00;73;358;273663;;
Bearb. Koordinaten Tier;23.01.2021 20:55:00;20;359;273667;;
Ansehen ZiB 1;23.01.2021 20:58:00;58;360;273668;;
Wunschabgabe ISW;23.01.2021 21:01:00;58;361;273669;;
Wunschmail DX-Wunschkonzert;23.01.2021 21:04:00;58;362;273671;;
Ansehen YouTube-Videos;23.01.2021 21:06:00;73;363;273677;;
Bearbeitung Musikumfrage Ö3;23.01.2021 21:32:00;58;364;273679;;
Anhören RW-Programm;24.01.2021 05:56:00;9;365;273682;;
Scan div. Radiosender;24.01.2021 05:59:00;58;366;273683;;
Korr.lesen Bewertung der Probleme;24.01.2021 09:05:00;31;367;273687;;
Bearbeitung Mails;24.01.2021 09:26:00;73;368;273690;;
Bearbeitung Play Card System;24.01.2021 09:32:00;32;369;273691;;
Bearb. Playlist;24.01.2021 11:25:00;9;370;273699;;
Eingabe Tonträger;24.01.2021 12:12:00;9;371;273702;;
div. Surfen;24.01.2021 12:42:00;73;372;273705;;
Bearb. Koordinaten Tier;24.01.2021 12:47:00;20;373;273706;;
Themen für Mittagessen;24.01.2021 12:54:00;31;374;273709;;
Aufräumen;24.01.2021 13:01:00;71;375;273711;;
Scootersuche;24.01.2021 15:50:00;20;376;273718;;
Bearb. Koordinaten Tier;24.01.2021 16:03:00;20;377;273722;;
div. Surfen;24.01.2021 16:05:00;73;378;273724;;
Ansehen YouTube-Videos;24.01.2021 16:26:00;73;379;273725;;
Surfen Atariage;24.01.2021 17:04:00;56;380;273726;;
Stella Alligator people;24.01.2021 17:11:00;56;381;273727;;
Wunsch Wunschbox Musikwelle;24.01.2021 18:04:00;58;382;273731;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;24.01.2021 18:09:00;32;383;273733;;
Scan div. Radiosender;24.01.2021 19:40:00;58;384;273737;;
Aufwandserfassung;24.01.2021 21:13:00;31;385;273739;;
Ansehen Fernsehsendungen;24.01.2021 22:51:00;58;386;273743;;
Posting Zeiten Atariage;24.01.2021 22:54:00;56;387;273744;;
Ermittlung Gesamtzeit für geplante Projekte;25.01.2021 07:33:00;31;388;273748;;
Scan div. Radiosender;25.01.2021 07:56:00;58;389;273749;;
div. Surfen;25.01.2021 08:22:00;73;390;273750;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;25.01.2021 08:36:00;32;391;273751;;
Bearb. Playlist;25.01.2021 09:29:00;9;392;273753;;
Scootersuche 1P;25.01.2021 19:16:00;20;393;273763;;
div. Surfen;25.01.2021 19:31:00;73;394;273766;;
Ansehen ZiB 1;25.01.2021 19:34:00;58;395;273767;;
Bearb. Koordinaten Tier;25.01.2021 19:40:00;20;396;273769;;
Bearbeitung Play Card System;25.01.2021 19:43:00;32;397;273770;;
Ansehen YouTube-Videos;25.01.2021 20:21:00;73;398;273772;;
Planung / AE;25.01.2021 21:09:00;31;399;273773;;
Einspielen neue Titel;25.01.2021 23:07:00;79;400;273780;;
Surfen Corona-Infektionen;26.01.2021 07:55:00;73;401;273783;;
div. Surfen;26.01.2021 07:57:00;73;402;273784;;
Bearb. Koordinaten Tier;26.01.2021 08:03:00;20;403;273785;;
Scan div. Radiosender;26.01.2021 08:16:00;58;404;273786;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;26.01.2021 08:37:00;32;405;273787;;
Scootersuche;26.01.2021 18:25:00;20;406;273806;;
Unterstützung Papa Corona-Impfung-Vormerkung;26.01.2021 18:38:00;38;407;273808;;
Anhören RW-Programm (mit Papa);26.01.2021 18:54:00;9;408;273810;;
div. Surfen;26.01.2021 18:57:00;73;409;273811;;
Ansehen YouTube-Videos;26.01.2021 19:01:00;73;410;273812;;
Stella Alligator People (16');26.01.2021 19:53:00;56;411;273813;;
Ansehen ZiB 1 / 2;26.01.2021 20:10:00;58;412;273814;;
Bearbeitung Play Card System;26.01.2021 20:47:00;32;413;273816;;
Kommentierung Youtube X-15;26.01.2021 21:04:00;32;414;273817;;
AE / Kommentare Kontengebarung;26.01.2021 21:10:00;31;415;273819;;
Lesen Keyboard Manuals;26.01.2021 22:14:00;32;416;273822;;
div. Surfen;27.01.2021 07:31:00;73;417;273830;;
Scan div. Radiosender;27.01.2021 07:40:00;58;418;273831;;
Bearb. Mindestplanung Zeitrückstand;27.01.2021 08:19:00;31;419;273833;;
Bearbeitung Play Card System (UPA-01) (1985) (Yamaha) (J).asm;27.01.2021 08:38:00;32;420;273839;;
Bearbeitung Play Card System u.a.;27.01.2021 16:56:00;32;421;273847;;
Ansehen YouTube-Videos;27.01.2021 17:41:00;73;422;273849;;
AE / Kommentare Kontengebarung;27.01.2021 19:46:00;31;423;273853;;
Ansehen ZiB 1;27.01.2021 20:56:00;58;424;273855;;
Einspielen div. Titel;27.01.2021 21:22:00;79;425;273859;;
Ansehen YouTube-Videos;04.02.2021 19:02:00;73;545;274281;;
Forge of Empires;04.02.2021 19:42:00;56;546;274282;;
Ansehen Fernsehsendungen;04.02.2021 20:34:00;58;547;274286;;
AE / Kommentare Kontengebarung;04.02.2021 20:41:00;31;548;274289;;
Bearb. Playlist;04.02.2021 21:49:00;9;549;274290;;
Einspielen 7 Titel aus Jänner-Liste;04.02.2021 22:11:00;79;550;274294;;
div. Surfen;05.02.2021 07:22:00;73;551;274299;;
Scan div. Radiosender;05.02.2021 07:30:00;58;552;274302;;
Forge of Empires;05.02.2021 07:54:00;56;553;274304;;
Bearb. Koordinaten Tier;05.02.2021 09:13:00;20;554;274305;;
Scan Jack 2 Oxfordshire;05.02.2021 10:14:00;58;555;274312;;
Bearbeitung Untersuchung der Prioritätenliste.doc;05.02.2021 10:20:00;31;556;274314;;
Scootersuche;05.02.2021 18:36:00;20;557;274323;;
Sortieren Papiere TFC;05.02.2021 18:50:00;9;558;274325;;
div. Surfen;05.02.2021 19:07:00;73;559;274327;;
Ansehen YouTube-Videos;05.02.2021 19:16:00;73;560;274328;;
Forge of Empires;05.02.2021 19:34:00;56;561;274329;;
Ansehen ZiB 1;05.02.2021 20:26:00;58;562;274333;;
AE / Korr.lesen Kommentare Kontengebarung;05.02.2021 21:31:00;31;563;274336;;
Bearb. Playlist;05.02.2021 23:17:00;9;564;274340;;
div. Surfen;06.02.2021 08:34:00;73;565;274346;;
Scan div. Radiosender;06.02.2021 08:43:00;58;566;274347;;
Forge of Empires;06.02.2021 09:10:00;56;567;274349;;
Kalk. Auftrag Heinrich;06.02.2021 13:35:00;41;568;274366;;
Besuch von Heinrich;06.02.2021 13:56:00;41;569;274367;;"Spaßbewertung lt. Richtwert in Kontengebarung 2. Hj. 2020: Bis 1,4583 h / Person 2,96 P/h + 5,014 P; hier 2,1333 h = 1,0666 / Person * 2,96 = 3,15733284 + 5,014 = 8,171 P/Person * 2 = 16,34266568 P"
div. Surfen;06.02.2021 16:55:00;73;570;274373;;
Suche / Aufrichten Tier-Scooter;06.02.2021 17:29:00;20;571;274374;;
Scan div. Radiosender;06.02.2021 17:43:00;58;572;274375;;
Forge of Empires;06.02.2021 18:44:00;56;573;274376;;
Bearb. Koordinaten Tier;06.02.2021 20:46:00;20;574;274380;;
Bearbeitung Mails;06.02.2021 20:51:00;73;575;274383;;
Anruf Musikwunsch Plattenkiste;06.02.2021 20:51:00;58;576;274384;;
Ansehen ZiB 1;06.02.2021 21:03:00;58;577;274387;;
Aufwandserfassung;06.02.2021 21:06:00;31;578;274388;;
Bearbeitung Musikumfrage Ö3 / Antwort an Ö3;06.02.2021 21:29:00;58;579;274393;;
Ansehen YouTube-Videos;06.02.2021 21:42:00;73;580;274395;;
Anhören RW-Programm;07.02.2021 06:00:00;9;581;274398;;
Bearbeitung Untersuchung der Prioritätenliste;07.02.2021 08:07:00;31;582;274402;;
Forge of Empires;07.02.2021 08:34:00;56;583;274406;;
Scan div. Radiosender;07.02.2021 11:09:00;58;584;274409;;
Bearb. Koordinaten Tier;07.02.2021 11:26:00;20;585;274410;;
div. Surfen;07.02.2021 11:29:00;73;586;274411;;
Bearbeitung Mails;07.02.2021 11:55:00;73;587;274414;;
Themen für Mittagessen;07.02.2021 12:31:00;31;588;274421;;
Scootersuche / -geradestellung;07.02.2021 15:08:00;20;589;274426;;
div. Surfen;07.02.2021 15:14:00;73;590;274428;;
Forge of Empires;07.02.2021 15:25:00;56;591;274429;;
Ansehen YouTube-Videos;07.02.2021 18:38:00;73;592;274432;;
Scan div. Radiosender;07.02.2021 18:57:00;58;593;274434;;
Musikwunsch Musikwelle;07.02.2021 20:13:00;58;594;274436;;
Bearb. Koordinaten Tier;07.02.2021 20:15:00;20;595;274439;;
Aufwandserfassung;07.02.2021 20:39:00;31;596;274442;;
Überweisung Kirchenbeitrag / Pirni;07.02.2021 22:08:00;58;597;274445;;Ausgaben werden bei halbmon. Abrechnung behandelt
Posting Zeiten Atariage;07.02.2021 23:05:00;56;598;274449;;
div. Surfen;08.02.2021 07:34:00;73;599;274454;;
Scan div. Radiosender;08.02.2021 07:42:00;58;600;274456;;
Ermittlung Gesamtzeit für geplante Projekte;08.02.2021 08:21:00;31;601;274457;;
Forge of Empires;08.02.2021 08:26:00;56;602;274458;;
Ansehen ZiB 2;03.01.2021 22:06:00;58;57;272623;;
Ansehen YouTube-Videos;03.01.2021 22:40:00;73;58;272625;;
Surfen Atariage;03.01.2021 22:52:00;56;59;272626;;
Ermittlung Gesamtzeit für geplante Projekte;04.01.2021 06:27:00;31;60;272633;;
Bearbeitung PSR-60 ROM Disassembly 1;04.01.2021 06:33:00;32;61;272635;;
Scan div. Radiosender;04.01.2021 09:21:00;58;62;272636;;
Bearb. Playlist;04.01.2021 12:11:00;9;63;272643;;
Bearbeitung Bewertung der Probleme;04.01.2021 12:16:00;31;64;272645;;
Eingabe + Anhören LP's;04.01.2021 12:23:00;9;65;272647;;
Bearb. Koordinaten Tier;04.01.2021 13:03:00;20;66;272652;;
div. Surfen;04.01.2021 13:16:00;73;67;272654;;
Ansehen YouTube-Videos;04.01.2021 14:43:00;73;68;272666;;
Mail an Jan (Scooter-Netzteile) / Sylvia (Neujahrswünsche);04.01.2021 15:21:00;73;69;272667;;
Aufräumen;04.01.2021 15:27:00;71;70;272668;;
Scootersuche;04.01.2021 16:44:00;20;71;272674;;
Aufräumen;04.01.2021 16:55:00;71;72;272675;;
Bearb. Playlist;04.01.2021 17:23:00;9;73;272677;;
Ansehen YouTube-Videos;04.01.2021 17:28:00;73;74;272679;;
MAME Mario Bros.;04.01.2021 19:01:00;56;75;272681;;
Ansehen ZiB 1 / 2;04.01.2021 19:20:00;58;76;272682;;
Bearb. Koordinaten Tier;04.01.2021 19:28:00;20;77;272683;;
Bearbeitung PSR-60 ROM Disassembly 1;04.01.2021 19:41:00;32;78;272686;;
Planung / AE;04.01.2021 20:54:00;31;79;272688;;
div. Surfen;04.01.2021 22:04:00;73;80;272692;;
Aufräumen;04.01.2021 22:19:00;71;81;272695;;
Scan Radio Plattenkiste;05.01.2021 06:00:00;58;82;272702;;
Bearb. Mindestplanung Aufarbeitung Zeitrückstände;05.01.2021 06:56:00;31;83;272704;;
Bearb. Koordinaten Tier;05.01.2021 07:04:00;20;84;272705;;
Bearbeitung PSR-60 ROM Disassembly 1;05.01.2021 07:05:00;32;85;272706;;
div. Surfen;05.01.2021 10:03:00;73;86;272711;;
Eingabe Tonträger;05.01.2021 10:37:00;9;87;272714;;
Bearb. Playlist;05.01.2021 11:27:00;9;88;272715;;
Aufräumen;05.01.2021 12:02:00;71;89;272724;;
Mail an Plattenkiste (Langsam w. u.a.);05.01.2021 12:10:00;58;90;272725;;
Unterstützung Papa Handy;05.01.2021 14:30:00;38;91;272727;;
Scootersuche;05.01.2021 16:40:00;20;92;272730;;
div. Surfen;05.01.2021 16:46:00;73;93;272733;;
Ansehen YouTube-Videos;05.01.2021 16:56:00;73;94;272734;;
MAME Mario Bros. (15') / Elevator Action (7');05.01.2021 18:31:00;56;95;272735;;
Bearbeitung PSR-60 ROM Disassembly 1;05.01.2021 18:53:00;32;96;272736;;
Bearb. Koordinaten Tier;05.01.2021 20:03:00;20;97;272739;;
